"value","lang","property","count","alternative_label","alternative_lang"
Mitteilung,de,hasSubject,37,,
Ehrenbeleidigung,de,hasSubject,35,,
professional research/science conversation,en,hasSubject,35,,
T.F.EHR,de,hasSubject,35,,
Suburb,en,hasSubject,34,,
Duchy,en,hasSubject,33,,
Beschwerde,de,hasSubject,32,,
conversation,en,hasSubject,32,,
D.J.BSW,de,hasSubject,32,,
D.J.VRN,de,hasSubject,32,,
interview,en,hasSubject,32,,
meeting,en,hasSubject,32,,
panel,en,hasSubject,32,,
press conference,en,hasSubject,32,,
question-answer session,en,hasSubject,32,,
Repression,de,hasSubject,32,,
seminar discussion,en,hasSubject,32,,
service encounter,en,hasSubject,32,,
Vernehmung,de,hasSubject,32,,
working group discussion,en,hasSubject,32,,
workshop discussion,en,hasSubject,32,,
zwischenstaatliche Verhandlung,de,hasSubject,32,,
D.K.TGR,de,hasSubject,31,,
Telegramm,de,hasSubject,31,,
Ausgang unklar,de,hasSubject,30,,
educational seminar discussion,en,hasSubject,30,,
E.F.AUS,de,hasSubject,30,,
professional business service encounter,en,hasSubject,30,,
professional research/science interview,en,hasSubject,30,,
professional research/science panel,en,hasSubject,30,,
professional research/science question-answer session,en,hasSubject,30,,
D.J.UBR,de,hasSubject,29,,
Gericht,en,hasSubject,29,,
Übersetzung,de,hasSubject,29,,
D.J.BRG,de,hasSubject,28,,
D.J.KLG,de,hasSubject,28,,
E.F.VER,de,hasSubject,28,,
Klage,de,hasSubject,28,,
Verurteilung,de,hasSubject,28,,
Auftrag,de,hasSubject,27,,
D.J.AUF,de,hasSubject,27,,
D.J.ERK,de,hasSubject,26,,
D.J.NOT,de,hasSubject,26,,
D.J.SFE,de,hasSubject,26,,
Erklärung (jur.),de,hasSubject,26,,
Lohnforderung,de,hasSubject,26,,
Notiz,de,hasSubject,26,,
Personalvertretung,de,hasSubject,26,,
Ruhestand,de,hasSubject,26,,
Vorrückung,de,hasSubject,26,,
educational interview,en,hasSubject,25,,
educational service encounter,en,hasSubject,25,,
educational working group discussion,en,hasSubject,25,,
leisure interview,en,hasSubject,25,,
professional organizational press conference,en,hasSubject,25,,
Staatsbedienstetenorganisationen,de,hasSubject,25,,
Berichtigung (jur.),de,hasSubject,24,,
Empire,en,hasSubject,24,,
zwischenstaatliche Vereinbarung,de,hasSubject,24,,
Landeskommissariat,en,hasSubject,23,,
Bitte,de,hasSubject,22,,
D.J.BIT,de,hasSubject,22,,
Strafanzeige,de,hasSubject,22,,
Archivrecherchen,,hasSubject,21,,
Beweisantrag,de,hasSubject,21,,
Byzantinische Burg,,hasSubject,21,,
Canabae,,hasSubject,21,,
"Die Stunde, Békessy",de,hasSubject,21,,
D.J.BWN,de,hasSubject,21,,
Forschungsgeschichte,,hasSubject,21,,
Hügelgräber,,hasSubject,21,,
Keramik,,hasSubject,21,,
K.K.STU,de,hasSubject,21,,
Lagervorstadt,,hasSubject,21,,
Legionslager,,hasSubject,21,,
Munizipium,,hasSubject,21,,
Nekropole,,hasSubject,21,,
Siedlungstopographie,,hasSubject,21,,
Streik,de,hasSubject,21,,
Surveyartefakte,,hasSubject,21,,
Wasserversorgung,,hasSubject,21,,
Beamtenorganisation,de,hasSubject,20,,
Druck mit handschriftlichen Annotationen,de,hasSubject,20,,
educational conversation,en,hasSubject,20,,
professional business panel,en,hasSubject,20,,
professional business question-answer session,en,hasSubject,20,,
deutschösterr. Regierung,de,hasSubject,19,,
K.P.SOZ,de,hasSubject,19,,
Sozialdemokratie,de,hasSubject,19,,
Berufungsanmeldung,de,hasSubject,18,,
Die Fackel,de,hasSubject,18,,
D.J.BAN,de,hasSubject,18,,
K.K.FAC,de,hasSubject,18,,
R.F.ZIV,de,hasSubject,18,,
T.F.URV,de,hasSubject,18,,
Urheberrechtsverletzung,de,hasSubject,18,,
Zivilrecht,de,hasSubject,18,,
Anklageschrift,de,hasSubject,17,,
D.J.AKS,de,hasSubject,17,,
Gewerkschaft,de,hasSubject,17,,
Beförderung,de,hasSubject,16,,
D.J.ERG,de,hasSubject,16,,
Ergänzung,de,hasSubject,16,,
Koalitionsfreiheit,de,hasSubject,16,,
Bescheid,de,hasSubject,15,,
Bestätigung,de,hasSubject,15,,
Bevollmächtiger,de,hasSubject,15,,
D.J.BSD,de,hasSubject,15,,
D.J.BST,de,hasSubject,15,,
professional organizational conversation,en,hasSubject,15,,
Äußerung,de,hasSubject,14,,
D.J.AUG,de,hasSubject,14,,
D.J.ERL,de,hasSubject,14,,
D.J.KOB,de,hasSubject,14,,
D.P.ZTG,de,hasSubject,14,,
E.F.FRE,de,hasSubject,14,,
E.F.VGL,de,hasSubject,14,,
Erlagschein,de,hasSubject,14,,
Freispruch,de,hasSubject,14,,
High-Bailiwick,en,hasSubject,14,,
Kostenaufstellung,de,hasSubject,14,,
Principality,en,hasSubject,14,,
Seat,en,hasSubject,14,,
Vergleich (Ausgang),de,hasSubject,14,,
Beleg (jur.),de,hasSubject,13,,
D.J.BEL,de,hasSubject,13,,
D.J.RNG,de,hasSubject,13,,
Ernennung,de,hasSubject,13,,
Griechenland,de,hasSubject,13,,
historical travel guides,en,hasSubject,13,,
Karl Baedeker,en,hasSubject,13,,
K.K.MED,de,hasSubject,13,,
Lesbos,de,hasSubject,13,,
Medienhistorisches,de,hasSubject,13,,
Rechnung,de,hasSubject,13,,
Berufung,de,hasSubject,12,,
C.Z.STR,de,hasSubject,12,,
Deckblatt,de,hasSubject,12,,
D.J.BRF,de,hasSubject,12,,
D.J.DKB,de,hasSubject,12,,
D.J.VOL,de,hasSubject,12,,
D.J.VRZ,de,hasSubject,12,,
educational,en,hasSubject,12,,
Grand Duchy,en,hasSubject,12,,
K.K.THE,de,hasSubject,12,,
leisure,en,hasSubject,12,,
professional business,en,hasSubject,12,,
