"value","lang","count"
Staatsangestelltenrat,de,6
Strafantrag,de,6
Straferkenntnis,de,6
Verlagswesen,de,6
Verwaltungsrecht,de,6
Zurückziehung der Klage,de,6
Archduchy,en,5
C.K.KOR,de,5
Crown Colony,en,5
C.Z.UNS,de,5
Disziplinarrecht,de,5
D.J.DOS,de,5
D.J.KSZ,de,5
Dossier,de,5
D.P,de,5
Druck mit handschriftlichen Überarbeitungen,de,5
E.F.EIN,de,5
Eingestellt,de,5
Entente,de,5
Kassazettel,de,5
Lebensumstände,de,5
Memorandum,de,5
Military District,en,5
Nachkriegskrise,de,5
Nationalität,de,5
Princely County,en,5
professional business conversation,en,5
professional research/science working group discussion,en,5
Provincial Government,en,5
Systemisierung,de,5
tschechoslowakische Regierung,de,5
Unstreitige Zivilrechtssache,de,5
Vergeltung,de,5
Zensur,de,5
Ablehnung,de,4
Anklage-Kundmachung,de,4
Anzeige,de,4
Arbeiterrätin,de,4
Aufgabeschein,de,4
Bekanntgabe,de,4
Berichtigung,de,4
Bundesverfassung,de,4
capacity,"",4
CIDOC CRM,"",4
Commissary District,en,4
Condominium,en,4
data integration,"",4
District,en,4
D.J.ABL,de,4
D.J.AKU,de,4
D.J.ANZ,de,4
D.J.BEK,de,4
D.J.EGE,de,4
D.J.EXB,de,4
D.J.GPK,de,4
D.J.GUT,de,4
D.J.INF,de,4
D.J.MEM,de,4
D.J.MST,de,4
D.J.REK,de,4
D.J.SRA,de,4
D.J.SVA,de,4
D.J.VFB,de,4
D.K.AGS,de,4
D.K.PAW,de,4
D.S.FOT,de,4
D.S.PGH,de,4
Durchschlag mit handschriftlicher Mitteilung,de,4
E.F.GBU,de,4
Eingabe,de,4
Exekutionsbewilligung,de,4
Fortbildung,de,4
function,"",4
Gedächtnisprotokoll,de,4
Geldbuße,de,4
Gutachten,de,4
Imperial Free City,en,4
Information,de,4
K.P.NAT,de,4
Manuskript mit handschriftlichen Annotationen,de,4
Margraviate,en,4
Mining Captaincy,en,4
Nationalsozialismus,de,4
Neolithic Greece and Anatolia,en,4
None,en,4
Phonogrammarchiv,de,4
Politische Verhältnisse,de,4
Postanweisung,de,4
Programmheft,de,4
Quarter,en,4
Rekurs,de,4
Selbstbestimmungsrecht,de,4
shape,"",4
Staatsvertrag (St. Germain),de,4
Strafregisterauszug,de,4
Strafverfahrensakt,de,4
T.F.VBR,de,4
T.F.VVL,de,4
Typoskript mit handschriftlicher Mitteilung,de,4
Typoskript mit sonstigen Schreibspuren,de,4
Verfügungsbogen,de,4
Vertragsbruch,de,4
Vertragsverletzung,de,4
Vikariat,en,4
Abfertigung,de,3
Abschrift (lit.),de,3
Abweisung,de,3
Autonomie,de,3
Beamtenrat,de,3
Beweisabschluss,de,3
Bürgerkrieg,de,3
Christlich-sozial,de,3
Constituent Entity,en,3
Country,en,3
C.P.VER,de,3
Disziplinarausschuss,de,3
D.J,de,3
D.J.BWA,de,3
D.J.ZST,de,3
D.L.ABS,de,3
D.L.PMP,de,3
E.F.ABW,de,3
E.F.FOR,de,3
Erpressung,de,3
Forderung bezahlt,de,3
Geist (moderner),de,3
Jude,de,3
Juristisches Dokument,de,3
K.P.CHR,de,3
linked open data,en,3
Neolithic Greece and Anatolia,"",3
online site database,"",3
Pamphlet,de,3
Papal State,en,3
Personalpolitik,de,3
Pfleggericht,en,3
Politische Organisierung,de,3
Privatrechtliche Vereinbarung,de,3
research event,en,3
Schuldrecht,de,3
semantic technologies,"",3
Stadtgericht,en,3
Tagebuch,de,3
TEI schema,en,3
T.F.ERP,de,3
T.F.SCH,de,3
Zustellung,de,3
Akt,de,2
Aktenübersicht,de,2
Anklage,de,2
Anweisun,de,2
artefact,en,2
Aufgabeabschnitt,de,2
Aufruf,de,2
Auszug,de,2
Berufungsbescheid,de,2
Bestechung,de,2
Bibliography,"",2
botany,en,2
Briefausgabe,de,2
Briefumschlag,de,2
cave,en,2
cemetery,en,2
Commissariat,en,2
Confederation,en,2
data integration,en,2
data sharing,en,2
Disziplinaranzeige,de,2
D.J.AKT,de,2
D.J.ANK,de,2
D.J.ARF,de,2
D.J.AUB,de,2
D.J.AZG,de,2
D.J.BEB,de,2
D.J.DAN,de,2
D.J.EEK,de,2
D.J.ENT,de,2
D.J.ERA,de,2
D.J.ERO,de,2
D.J.EXA,de,2
D.J.EXN,de,2
D.J.KSN,de,2
D.J.LEU,de,2
D.J.RMA,de,2
D.J.RVA,de,2
D.J.RVS,de,2
D.J.STG,de,2
D.J.STZ ,de,2
D.J.TST,de,2
D.J.UBS,de,2
D.J.UBW,de,2
D.J.VLB,de,2
D.J.VRF,de,2
D.J.VRG,de,2
D.J.ZRW,de,2
D.J.ZVP,de,2
D.K.AAS,de,2
D.K.LIS,de,2
D.L.GED,de,2
