"id","value","qualification","property","lang","notes_lang","variants","singular form"
188,E.F.AEB,,hasSubject,und,DAACDA,,
189,tschechoslowakischer Staatsdienst,,hasSubject,de,,,
190,Berufungsausführung,,hasSubject,de,,,
191,D.J.BAF,,hasSubject,und,DAACDA,,
192,D.J.MIT,,hasSubject,und,DAACDA,,
193,Mitteilung,,hasSubject,de,,,
194,Ehrenbeleidigung,,hasSubject,de,,,
195,professional research conversation,,hasSubject,en,,professional science conversation,
196,T.F.EHR,,hasSubject,und,DAACDA,,
197,suburb,,hasSubject,en,,,
198,duchy,,hasSubject,en,,,
199,Beschwerde,,hasSubject,de,,,
200,conversation,,hasSubject,en,,,
201,D.J.BSW,,hasSubject,und,DAACDA,,
202,D.J.VRN,,hasSubject,und,DAACDA,,
203,interview,,hasSubject,en,,,
204,meeting,,hasSubject,en,,,
205,panel,,hasSubject,en,,,
206,press conference,,hasSubject,en,,,
207,question-answer session,,hasSubject,en,,,
208,Repression,,hasSubject,de,,,
209,seminar discussion,,hasSubject,en,,,
210,service encounter,,hasSubject,en,,,
211,Vernehmung,,hasSubject,de,,,
212,working group discussion,,hasSubject,en,,,
213,workshop discussion,,hasSubject,en,,,
214,zwischenstaatliche Verhandlung,,hasSubject,de,,,
215,D.K.TGR,,hasSubject,und,DAACDA,,
216,Telegramm,,hasSubject,de,,,
217,Ausgang unklar,,hasSubject,de,,,
218,educational seminar discussion,,hasSubject,en,,,
219,E.F.AUS,,hasSubject,und,DAACDA,,
220,professional business service encounter,,hasSubject,en,,,
221,professional research interview,,hasSubject,en,,professional science interview,
222,professional research panel,,hasSubject,en,,professional science panel,
223,professional research question-answer session,,hasSubject,en,,professional science question-answer session,
224,D.J.UBR,,hasSubject,und,DAACDA,,
225,Gericht,,hasSubject,de,,,
226,Übersetzung,,hasSubject,de,,,
227,D.J.BRG,,hasSubject,und,DAACDA,,
228,D.J.KLG,,hasSubject,und,DAACDA,,
229,E.F.VER,,hasSubject,und,DAACDA,,
230,Klage,,hasSubject,de,,,
231,Verurteilung,,hasSubject,de,,,
232,Auftrag,,hasSubject,de,,,
233,D.J.AUF,,hasSubject,und,DAACDA,,
234,D.J.ERK,,hasSubject,und,DAACDA,,
235,D.J.NOT,,hasSubject,und,DAACDA,,
236,D.J.SFE,,hasSubject,und,DAACDA,,
237,Erklärung,jur.,hasSubject,de,,,
238,Lohnforderung,,hasSubject,de,,,
239,Notiz,,hasSubject,de,,,
240,Personalvertretung,,hasSubject,de,,,
241,Ruhestand,,hasSubject,de,,,
242,Vorrückung,,hasSubject,de,,,
243,educational interview,,hasSubject,en,,,
244,educational service encounter,,hasSubject,en,,,
245,educational working group discussion,,hasSubject,en,,,
246,leisure interview,,hasSubject,en,,,
247,professional organizational press conference,,hasSubject,en,,,
248,Staatsbedienstetenorganisationen,,hasSubject,de,,,Staatsbedienstetenorganisation
249,Berichtigung,jur.,hasSubject,de,,,
250,empire,,hasSubject,en,,,
251,zwischenstaatliche Vereinbarung,,hasSubject,de,,,
252,Landeskommissariat,,hasSubject,de,,Landkommissariat,
253,Bitte,,hasSubject,de,,,
254,D.J.BIT,,hasSubject,und,DAACDA,,
255,Strafanzeige,,hasSubject,de,,,
256,Archivrecherchen,,hasSubject,de,,,Archivrecherche
257,Beweisantrag,,hasSubject,de,,,
258,byzantinische Burg,,hasSubject,de,,,
259,canabae,,hasSubject,la,,,canaba
260,Die Stunde,,hasSubject,de,,,
260,Imre Békessy,,hasSubject,und,,,
261,D.J.BWN,,hasSubject,und,DAACDA,,
262,Forschungsgeschichte,,hasSubject,de,,,
263,Hügelgräber,,hasSubject,de,,,Hügelgrab
264,Keramik,,hasSubject,de,,,
265,K.K.STU,,hasSubject,und,DAACDA,,
266,Lagervorstadt,,hasSubject,de,,,
267,Legionslager,,hasSubject,de,,,
268,Munizipium,,hasSubject,de,,,
269,Nekropole,,hasSubject,de,,,
270,Siedlungstopographie,,hasSubject,de,,Siedlungstopografie,
271,Streik,,hasSubject,de,,,
272,Surveyartefakte,,hasSubject,de,,,Surveyartefakt
273,Wasserversorgung,,hasSubject,de,,,
274,Beamtenorganisation,,hasSubject,de,,,
275,Druck mit handschriftlichen Annotationen,,hasSubject,de,,,
276,educational conversation,,hasSubject,en,,,
277,professional business panel,,hasSubject,en,,,
278,professional business question-answer session,,hasSubject,en,,,
279,deutschösterreichische Regierung,,hasSubject,de,,deutsch-österreichische Regierung,
280,K.P.SOZ,,hasSubject,und,DAACDA,,
281,Sozialdemokratie,,hasSubject,de,,,
282,Berufungsanmeldung,,hasSubject,de,,,
283,Die Fackel,,hasSubject,de,,,
284,D.J.BAN,,hasSubject,und,DAACDA,,
285,K.K.FAC,,hasSubject,und,DAACDA,,
286,R.F.ZIV,,hasSubject,und,DAACDA,,
287,T.F.URV,,hasSubject,und,DAACDA,,
288,Urheberrechtsverletzung,,hasSubject,de,,,
289,Zivilrecht,,hasSubject,de,,,
290,Anklageschrift,,hasSubject,de,,,
291,D.J.AKS,,hasSubject,und,DAACDA,,
292,Gewerkschaft,,hasSubject,de,,,
293,Beförderung,,hasSubject,de,,,
294,D.J.ERG,,hasSubject,und,DAACDA,,
295,Ergänzung,,hasSubject,de,,,
296,Koalitionsfreiheit,,hasSubject,de,,,
297,Bescheid,,hasSubject,de,,,
298,Bestätigung,,hasSubject,de,,,
299,Bevollmächtiger,,hasSubject,de,,,
300,D.J.BSD,,hasSubject,und,DAACDA,,
301,D.J.BST,,hasSubject,und,DAACDA,,
302,professional organizational conversation,,hasSubject,en,,,
303,Äußerung,,hasSubject,de,,,
304,D.J.AUG,,hasSubject,und,DAACDA,,
305,D.J.ERL,,hasSubject,und,DAACDA,,
306,D.J.KOB,,hasSubject,und,DAACDA,,
307,D.P.ZTG,,hasSubject,und,DAACDA,,
308,E.F.FRE,,hasSubject,und,DAACDA,,
309,E.F.VGL,,hasSubject,und,DAACDA,,
310,Erlagschein,,hasSubject,de,,,
311,Freispruch,,hasSubject,de,,,
312,High-Bailiwick,,hasSubject,en,,,
313,Kostenaufstellung,,hasSubject,de,,,
314,principality,,hasSubject,en,,,
315,seat,,hasSubject,en,,,
316,Vergleich,Ausgang,hasSubject,de,,,
317,Beleg,jur.,hasSubject,de,,,
318,D.J.BEL,,hasSubject,und,DAACDA,,
319,D.J.RNG,,hasSubject,und,DAACDA,,
320,Ernennung,,hasSubject,de,,,
321,Griechenland,,hasSubject,de,,,
322,historical travel guides,,hasSubject,en,,,historical travel guide
323,Karl Baedeker,,hasSubject,und,proper name,,
324,K.K.MED,,hasSubject,und,DAACDA,,
325,Lesbos,,hasSubject,de,,,
326,Medienhistorisches,,hasSubject,de,,,
327,Rechnung,,hasSubject,de,,,
328,Berufung,,hasSubject,de,,,
329,C.Z.STR,,hasSubject,und,DAACDA,,
330,Deckblatt,,hasSubject,de,,,
331,D.J.BRF,,hasSubject,und,DAACDA,,
332,D.J.DKB,,hasSubject,und,DAACDA,,
333,D.J.VOL,,hasSubject,und,DAACDA,,
334,D.J.VRZ,,hasSubject,und,DAACDA,,
335,educational,,hasSubject,en,,,
336,grand duchy,,hasSubject,en,,,
337,K.K.THE,,hasSubject,und,DAACDA,,
338,leisure,,hasSubject,en,,,
339,professional business,,hasSubject,en,,,
340,professional organizational,,hasSubject,en,,,
341,professional research and science,,hasSubject,en,,,
342,sonstiger Materialitätstyp,,hasSubject,de,,,
343,streitige Zivilrechtssache,,hasSubject,de,,,
344,Theater,,hasSubject,de,,,
345,Verzeichnis,,hasSubject,de,,,
346,Vollmacht,,hasSubject,de,,,
347,Ausbildung,,hasSubject,de,,,
348,Bundesländer,,hasSubject,de,,,Bundesland
349,D.J.ZAS,,hasSubject,und,DAACDA,,
350,Föderalismus,,hasSubject,de,,,
351,Fotografien,,hasSubject,de,,,Fotografie
352,Intertextualität,,hasSubject,de,,,
353,Kündigung,,hasSubject,de,,,
354,Literaturwissenschaft,,hasSubject,de,,,
355,Medienwissenschaft,,hasSubject,de,,,
356,Personalkommission,,hasSubject,de,,,
357,Rechtsgeschichte,,hasSubject,de,,,
358,Zeugenaussage,,hasSubject,de,,,
359,Abhandlung,,hasSubject,de,,,
360,Bericht,,hasSubject,de,,,
361,Betriebsrat,,hasSubject,de,,,
362,Burgfrieden,,hasSubject,de,,Burgfriede,
363,D.J.ABH,,hasSubject,und,DAACDA,,
364,D.J.BER,,hasSubject,und,DAACDA,,
365,D.J.KON,,hasSubject,und,DAACDA,,
366,D.J.KSB,,hasSubject,und,DAACDA,,
367,D.J.ZAT,,hasSubject,und,DAACDA,,
368,D.J.ZUN,,hasSubject,und,DAACDA,,
369,E.F.NIC,,hasSubject,und,DAACDA,,
370,Friedensverhandlungen,,hasSubject,de,,,Friedensverhandlung
371,Kassabestätigung,,hasSubject,de,,,
372,K.K.LIT,,hasSubject,und,DAACDA,,
373,K.K.SCH,,hasSubject,und,DAACDA,,
374,Konzept,jur.,hasSubject,de,,,
375,literarische Berichtigung,,hasSubject,de,,,
376,nicht verfolgt,,hasSubject,de,,,
377,Johann Schober,,hasSubject,und,,,
377,15. Juli 1927,,hasSubject,de,,,
378,Staatsangestelltenkammer,,hasSubject,de,,,
379,Ungleichbehandlung,,hasSubject,de,,,
380,Zahlungsauftrag,,hasSubject,de,,,
381,Zurücknahme,,hasSubject,de,,,
382,Berliner Tageblatt,,hasSubject,de,,,
382,Alfred Kerr,,hasSubject,und,,,
382,Theodor Wolff,,hasSubject,und,,,
383,D.J.LIS,,hasSubject,und,DAACDA,,
384,D.J.VER,,hasSubject,und,DAACDA,,
385,D.J.ZEB,,hasSubject,und,DAACDA,,
