value,lang,property,count,id,delete,separate,remove_trailing_space
D.K.PKT,de,hasSubject,44,,,,
D.K.RAD,de,hasSubject,9,,,,
D.K.RKS,de,hasSubject,78,,,,
D.K.TGR,de,hasSubject,31,,,,
D.K.UMS,de,hasSubject,6,,,,
D.L,de,hasSubject,7,,,,
D.L.ABS,de,hasSubject,3,,,,
D.L.GED,de,hasSubject,2,,,,
D.L.PMP,de,hasSubject,3,,,,
D.P,de,hasSubject,5,,,,
D.P.ZTA,de,hasSubject,352,,,,
D.P.ZTG,de,hasSubject,14,,,,
D.S.FOT,de,hasSubject,4,,,,
D.S.LSZ,de,hasSubject,2,,,,
D.S.PGH,de,hasSubject,4,,,,
D.S.PLK,de,hasSubject,2,,,,
Darlehen zurückbezahlt,de,hasSubject,1,,,,
data,,hasSubject,1,,,,
data integration,,hasSubject,4,,,,
data integration,en,hasSubject,2,,,,
data model,,hasSubject,1,,,,
data sharing,en,hasSubject,2,,,,
Dataset,en,hasCategory,1308,48521,,,
Datensammlung,de,hasCategory,180,48551,,,
Datenset,de,hasCategory,1308,48521,,,
Deckblatt,de,hasSubject,12,,,,
Demokratisierung,de,hasSubject,46,,,,
deutschösterr. Regierung,de,hasSubject,19,,,,
Die Fackel,de,hasSubject,18,,,,
Digital Edition,de,hasSubject,1,,,,
digital long-term preservation,en,hasSubject,1,,,,
digitale Langzeitarchivierung,de,hasSubject,1,,,,
Digitalisierte handgezeichnete Feldzeichnungen.,de,hasAppliedMethod,2,,,,
digitisation,en,hasSubject,1,,,,
Digitization,,hasSubject,1,,,,
Diplomatiegeschichte,de,hasSubject,1,,,,
District,en,hasSubject,4,,,,
District Captaincy,en,hasSubject,590,,,,
Disziplinaranzeige,de,hasSubject,2,,,,
Disziplinarausschuss,de,hasSubject,3,,,,
Disziplinarrecht,de,hasSubject,5,,,,
Dossier,de,hasSubject,5,,,,
Drohung,de,hasSubject,1,,,,
Druck,de,hasSubject,690,,,,
Druck mit handschriftliche Annotationen/Notate/Notizen,de,hasSubject,2,,,,
Druck mit handschriftlichen Annotationen,de,hasSubject,20,,,,
Druck mit handschriftlichen Überarbeitungen,de,hasSubject,5,,,,
Duchy,en,hasSubject,33,,,,
Durchschlag,de,hasSubject,1581,,,,
Durchschlag mit handschriftlichen Annotationen,de,hasSubject,185,,,,
Durchschlag mit handschriftlichen Überarbeitungen,de,hasSubject,208,,,,
Durchschlag mit handschriftlicher Mitteilung,de,hasSubject,4,,,,
Durchschlag mit sonstigen Schreibspuren,de,hasSubject,2,,,,
E.F.ABW,de,hasSubject,3,,,,
E.F.AEB,de,hasSubject,39,,,,
E.F.AEE,de,hasSubject,2,,,,
E.F.AEI,de,hasSubject,1,,,,
E.F.AGE,de,hasSubject,48,,,,
E.F.AUF,de,hasSubject,1,,,,
E.F.AUS,de,hasSubject,30,,,,
E.F.BES,de,hasSubject,1,,,,
E.F.DAR,de,hasSubject,1,,,,
E.F.EIN,de,hasSubject,5,,,,
E.F.ERK,de,hasSubject,1,,,,
E.F.FOR,de,hasSubject,3,,,,
E.F.FRE,de,hasSubject,14,,,,
E.F.GBU,de,hasSubject,4,,,,
E.F.GEL,de,hasSubject,2,,,,
E.F.HON,de,hasSubject,1,,,,
E.F.NIC,de,hasSubject,10,,,,
E.F.RUE,de,hasSubject,1,,,,
E.F.SCH,de,hasSubject,1,,,,
E.F.SUE,de,hasSubject,1,,,,
E.F.VAU,de,hasSubject,1,,,,
E.F.VER,de,hasSubject,28,,,,
E.F.VGL,de,hasSubject,14,,,,
E.F.VSE,de,hasSubject,1,,,,
E.F.ZRW,de,hasSubject,1,,,,
E.F.ZUR,de,hasSubject,6,,,,
