value,value_correct,lang,lang_correct,lang_correct_comments,property,count,id,singular_form,main_part,qualifier,main_label,variants,swap_order
Vermessung,,,de,,hasSubject,1,,,,,,,
Vikariat,,en,de,,hasSubject,4,,,,,,,
Virtuelle Rekonstruktion,virtuelle Rekonstruktion,,de,,hasAppliedMethod,1,,,,,,,
Wasserversorgung,,,de,,hasSubject,21,,,,,,,
3D models,,,en,,hasSubject,1,,3D model,,,,,
3D scanning,,,en,,hasAppliedMethod,1756,,,,,,,
Bibliography,bibliography,,en,,hasSubject,2,,,,,,,
capacity,,,en,,hasSubject,4,,,,,,,
controlled vocabulary,,,en,,hasSubject,1,,,,,,,
CT-scans,CT scans,,en,,hasAppliedMethod,3,,CT scan,,,,,
data,,,en,,hasSubject,1,,,,,,,
data integration,,,en,,hasSubject,4,,,,,,,
data model,,,en,,hasSubject,1,,,,,,,
Digitization,digitisation,,en,,hasSubject,1,,,,,,,
function,,,en,,hasSubject,4,,,,,,,
GPR,,,en,,hasSubject,1,,,,,,,
image creation,,,en,,hasAppliedMethod,1,,,,,,,
Image-based 3D modelling,image-based 3D modelling,,en,,hasAppliedMethod,1,,,,,,,
index file creation,,,en,,hasAppliedMethod,3,,,,,,,
inked drawings,,,en,,hasAppliedMethod,1,,inked drawing,,,,,
Inscriptions,inscriptions,,en,,hasSubject,1,,inscription,,,,,
Laser Scanning,laser scanning,,en,,hasAppliedMethod,1,,,,,,,
lemmatization,,,en,,hasAppliedMethod,7,,,,,,,
linked open data,,,en,,hasSubject,2,,,,,,,
material culture,,,en,,hasSubject,2,,,,,,,
Neolithic Anatolia,,,en,,hasSubject,3,,,,,,,
Neolithic Greece,,,en,,hasSubject,3,,,,,,,
OCR,,,en,,hasAppliedMethod,7,,,,,,,
online site database,,,en,,hasSubject,3,,,,,,,
Part of Speech Tagging,part-of-speech tagging,,en,,hasAppliedMethod,1,,,,,,,
part-of-speech-tagging,part-of-speech tagging,,en,,hasAppliedMethod,7,,,,,,,
photography,,,en,,hasAppliedMethod,1139,,,,,,,
