subject;count;ARCHEsourceProperty
Verlagswesen;6;hasSubject
Aufgabeabschnitt;2;hasSubject
EhrenkrÃ¤nkung;1;hasSubject
Pensionierung;109;hasSubject
Landeskommissariat;23;hasSubject
Druck mit handschriftliche Annotationen/Notate/Notizen;2;hasSubject
D.J.ABH;10;hasSubject
professional research/science question-answer session;30;hasSubject
EhrenerklÃ¤rung;2;hasSubject
Abfertigung;3;hasSubject
AuÃŸergerichtliche Erledigung;48;hasSubject
Pauperisierung;1;hasSubject
E.F.ZRW;1;hasSubject
Jude;3;hasSubject
Great Powers;1;hasSubject
Radiogramm;9;hasSubject
K.K.SCH;10;hasSubject
Stefan Padajaunig;1;hasSubject
D.J.AFS;8;hasSubject
Oskar Samek;1;hasSubject
Verrechnung;2;hasSubject
Telegramm;31;hasSubject
Geschichte des Lesens;126;hasSubject
D.J.BAF;37;hasSubject
Bildungsreform;1;hasSubject
working group discussion;32;hasSubject
E.F.GBU;4;hasSubject
settlement;2;hasSubject
Vergeltung;5;hasSubject
Congress of Troppau;1;hasSubject
Edition;2;hasSubject
Grundbuch;2940;hasSubject
Systemisierung;5;hasSubject
PeriodO;1;hasSubject
digitisation;1;hasSubject
professional research and science;12;hasSubject
Gewerkschaft;17;hasSubject
VorrÃ¼ckung;26;hasSubject
Anklage;2;hasSubject
Berufungsbescheid;2;hasSubject
Liste (korr.);2;hasSubject
Keramik;21;hasSubject
Umsiedlung;1;hasSubject
Gremium;1;hasSubject
Sonstiger MaterialitÃ¤tstyp;12;hasSubject
professional organizational workshop discussion;40;hasSubject
Zahlungsverpflichtung;2;hasSubject
VerfÃ¼gung;2;hasSubject
E.F.VER;28;hasSubject
D.K.UMS;6;hasSubject
D.J.ZAT;10;hasSubject
European Concert of Powers;1;hasSubject
aerial warfare;959;hasSubject
professional business panel;20;hasSubject
Beleg (jur.);13;hasSubject
botany;2;hasSubject
lemmatization;315;hasSubject
cave;2;hasSubject
HÃ¼yÃ¼cektepe;2;hasSubject
Strafregisterauszug;4;hasSubject
Lesezeichen;2;hasSubject
D.J.VRN;32;hasSubject
Pressedelikt;69;hasSubject
E.F.ZUR;6;hasSubject
Profilzeichnungen;1;hasSubject
T.F.SCH;3;hasSubject
D.J.ABL;4;hasSubject
Imperial Circle;40;hasSubject
Medieval Prosopography;2;hasSubject
Personalvertretung;26;hasSubject
Graf Leo Thun-Hohenstein;1;hasSubject
K.K.LIT;10;hasSubject
Antrag;160;hasSubject
D.J.AUG;14;hasSubject
D.J.EIN;6;hasSubject
T.F.URV;18;hasSubject
Urheberrechtsverletzung;18;hasSubject
Repression;32;hasSubject
Beleidigung;1;hasSubject
Nicht verfolgt;10;hasSubject
unknown adm;1;hasSubject
group designations;2;hasSubject
E.F.AEB;39;hasSubject
C.P.VER;3;hasSubject
D.J.VRG;2;hasSubject
press conference;32;hasSubject
educational seminar discussion;30;hasSubject
Principality;14;hasSubject
Tagebuch;3;hasSubject
E.F.VSE;1;hasSubject
Kronos-Verlag;1;hasSubject
D.L.PMP;3;hasSubject
Congress of Aix-la-chapelle;1;hasSubject
Phonogrammarchiv;4;hasSubject
Kongressakten;1;hasSubject
Vertragsverletzung;4;hasSubject
Verwaltungsrechtssache;1;hasSubject
Selbstverwaltung;1;hasSubject
MÃ¤chtekongress;1;hasSubject
D.J.AKU;4;hasSubject
R.F.VER;6;hasSubject
KÃ¼ndigung;11;hasSubject
Grand Duchy;12;hasSubject
GPR;1;hasSubject
E.F.ABW;3;hasSubject
K.K.FAC;18;hasSubject
History of diplomacy;1;hasSubject
D.J.STZ;84;hasSubject
Forschungsgeschichte;21;hasSubject
District Captaincy;590;hasSubject
K.P.NAT;4;hasSubject
Anfrage;6;hasSubject
Entente;5;hasSubject
T.F.PRE;81;hasSubject
E.F.VAU;1;hasSubject
Typoskript mit handschriftlichen Ãœberarbeitungen;155;hasSubject
D.J.ENW;49;hasSubject
GedÃ¤chtnisprotokoll;4;hasSubject
D.J.UBR;29;hasSubject
Province;75;hasSubject
GroÃŸdeutsche Volkspartei;1;hasSubject
Viennese Dialectological School;1;hasSubject
E.F.ERK;1;hasSubject
professional research/science working group discussion;5;hasSubject
Abhandlung;10;hasSubject
Geschichte;2940;hasSubject
S.F.RIC;1;hasSubject
Kostenaufstellung;14;hasSubject
FÃ¶deralismus;11;hasSubject
Anklageschrift;17;hasSubject
Protectorate;2;hasSubject
D.K.PKT;44;hasSubject
Karl Kraus;141;hasSubject
T.F.EUV;1;hasSubject
Druck mit handschriftlichen Ãœberarbeitungen;5;hasSubject
Unautorisierte AuffÃ¼hrung;1;hasSubject
D.S.FOT;4;hasSubject
D.K.PAW;4;hasSubject
Revisionsschrift;2;hasSubject
D.J.KFS;40;hasSubject
Aufruf;2;hasSubject
Republic;6;hasSubject
conversation;32;hasSubject
Bronze Age sites;1;hasSubject
leisure conversation;105;hasSubject
TEI-schema;1;hasSubject
Disziplinarausschuss;3;hasSubject
BundeslÃ¤nder;11;hasSubject
interview;32;hasSubject
Congress of Laibach;1;hasSubject
Freispruch;14;hasSubject
Chalcholithic sites;1;hasSubject
language mapping;1;hasSubject
D.J.RVS;2;hasSubject
D.J.AFD;6;hasSubject
D.J.VRS;43;hasSubject
Zivilrecht;18;hasSubject
D.J.BSD;15;hasSubject
Verwaltung;65;hasSubject
D.J.DKB;12;hasSubject
D.J.SAT;6;hasSubject
educational workshop discussion;50;hasSubject
Staatsangestelltenkammer;10;hasSubject
tschechoslowak. Staatsdienst;39;hasSubject
Ungleichbehandlung;10;hasSubject
Landgericht;591;hasSubject
D.J.BRS;6;hasSubject
Auszug;2;hasSubject
D.J.KBS;6;hasSubject
Lagervorstadt;21;hasSubject
Princely County;5;hasSubject
Schweiz;1;hasSubject
Exekutionsausweis;2;hasSubject
City District;1;hasSubject
Anklage-Kundmachung;4;hasSubject
D.J.VLB;2;hasSubject
K.K.STU;21;hasSubject
D.J.KSZ;5;hasSubject
Legionslager;21;hasSubject
D.J.SRA;4;hasSubject
CIDOC CRM;4;hasSubject
D.J.STG;2;hasSubject
C.K.KOR;5;hasSubject
Literaturwissenschaft;11;hasSubject
D.J.BST;15;hasSubject
Lothar RÃ¼belt;1;hasSubject
schema;1;hasSubject
Personalpolitik;3;hasSubject
professional research/science conversation;35;hasSubject
Information;4;hasSubject
D.J.AUB;2;hasSubject
LebensumstÃ¤nde;5;hasSubject
Politische Organisierung;3;hasSubject
professional organizational press conference;25;hasSubject
C.Z.UNS;5;hasSubject
Expensen-Note;2;hasSubject
professional business service encounter;30;hasSubject
D.J.SFE;26;hasSubject
Verleumdung;1;hasSubject
Verwaltungsrecht;6;hasSubject
meeting;32;hasSubject
D.J.VER;9;hasSubject
Politische VerhÃ¤ltnisse;4;hasSubject
TEI schema;3;hasSubject
Verzeichnis;12;hasSubject
D.K.LIS;2;hasSubject
Manuskript mit handschriftlichen Annotationen;4;hasSubject
Eingestellt;5;hasSubject
Vertrag;9;hasSubject
Anweisun;2;hasSubject
Congress of Vienna;1;hasSubject
Berliner Tageblatt, Kerr, Wolff;9;hasSubject
D.J.ANZ;4;hasSubject
S.F.SAM;1;hasSubject
Konzept (jur.);10;hasSubject
Stadtgericht;3;hasSubject
Zensur;5;hasSubject
Beschluss;182;hasSubject
Rekurs;4;hasSubject
D.J.BEN;108;hasSubject
linguistic landscape;1;hasSubject
County (administrative unit);71;hasSubject
Concert of Europe;1;hasSubject
Governmental District;62;hasSubject
Originalumschlag;44;hasSubject
MÃ¤chtekonzert;1;hasSubject
Versammlung;2;hasSubject
NationalitÃ¤t;5;hasSubject
interculturality;787;hasSubject
Sozialdemokratie;19;hasSubject
Kostenfestsetzung;40;hasSubject
D.J.BWN;21;hasSubject
T.F.VBR;4;hasSubject
Staatsbedienstetenorganisationen;25;hasSubject
Entwurf;2;hasSubject
Die Fackel;18;hasSubject
quarry;2;hasSubject
3D models;1;hasSubject
Plakat;2;hasSubject
D.J.EGE;4;hasSubject
Ausgang unklar;30;hasSubject
Gesteinsproben;1;hasSubject
workshop discussion;32;hasSubject
Literarisches Werk;2;hasSubject
D.K.RAD;9;hasSubject
Korrespondenz;7;hasSubject
Schober, 15. Juli 1927;10;hasSubject
KlagrÃ¼ckziehung;6;hasSubject
Suburb;34;hasSubject
Canabae;21;hasSubject
T.F.DRO;1;hasSubject
S.F.FRI;2;hasSubject
Staatsbediensteten-Kommission;1;hasSubject
Ausbleiben der RÃ¼ckzahlung;1;hasSubject
T.F.GDR;1;hasSubject
Crown Colony;5;hasSubject
D.S.PGH;4;hasSubject
Unstreitige Zivilrechtssache;5;hasSubject
Typoskript mit handschriftlichen Ã„nderungen;2;hasSubject
Kommissionsbezirk der Provinzstadt;8;hasSubject
Schuldrecht;3;hasSubject
D.J.MAP;292;hasSubject
Middle Ages;2;hasSubject
S.F.BPD;1;hasSubject
Mitschrift;2;hasSubject
spelling;1;hasSubject
D.J.LIS;9;hasSubject
Beamtenorganisation;20;hasSubject
mark-up;1;hasSubject
Bekanntgabe;4;hasSubject
Scheitern der Exekution;1;hasSubject
D.J.GTS;6;hasSubject
Verlassenschaftsabhandlung;2;hasSubject
educational interview;25;hasSubject
Margraviate;4;hasSubject
word tokenization;157;hasSubject
C.Z.STR;12;hasSubject
manual;1;hasSubject
Vertragsbruch;4;hasSubject
Bundesverfassung;4;hasSubject
D.J.URT;109;hasSubject
Magnetik;1;hasSubject
E.F.HON;1;hasSubject
E.F.AUF;1;hasSubject
Demokratisierung;46;hasSubject
D.J.ZST;3;hasSubject
TagebÃ¼cher;2;hasSubject
zwischenstaatliche Verhandlung;32;hasSubject
Unbefugte Kolportage;1;hasSubject
D.J.RVA;2;hasSubject
D.J.UBW;2;hasSubject
Politische MaÃŸregelung;1;hasSubject
Straferkenntnis;6;hasSubject
D.J.SVA;4;hasSubject
D.K.RKS;78;hasSubject
Ruhestand;26;hasSubject
Streitige Zivilrechtssache;12;hasSubject
cemetery;2;hasSubject
Versetzung auÃŸerhalb Wiens;1;hasSubject
Aktenvermerk;201;hasSubject
amtsfreie Stadt;68;hasSubject
D.L;7;hasSubject
ErhaltsbestÃ¤tigung;41;hasSubject
Politische Parteien;6;hasSubject
Neolithic Greece and Anatolia;7;hasSubject
Versicherung;7;hasSubject
Internationales Postrecht;2;hasSubject
"25er-Ausschuss; FÃ¼nfundzwanziger-Ausschuss";1;hasSubject
E.F.FRE;14;hasSubject
capacity;4;hasSubject
pottery studies;2;hasSubject
T.F.MNR;1;hasSubject
S.F.LIE;1;hasSubject
T.F.NAC;1;hasSubject
artefact;2;hasSubject
Gedicht;2;hasSubject
grave;2;hasSubject
Einigung;1;hasSubject
Papal State;3;hasSubject
Monarchenkongresse;1;hasSubject
E.F.AEI;1;hasSubject
Postanweisung;4;hasSubject
post-colonial;1;hasSubject
Confederation;2;hasSubject
Congress System;1;hasSubject
Darlehen zurÃ¼ckbezahlt;1;hasSubject
Lohnforderung;26;hasSubject
transcription;1;hasSubject
Deckblatt;12;hasSubject
Kreis;63;hasSubject
site and monument;1;hasSubject
Durchschlag;1581;hasSubject
semantic technologies;3;hasSubject
data model;1;hasSubject
D.J.BSW;32;hasSubject
T.F.RUF;1;hasSubject
Gericht;29;hasSubject
data integration;6;hasSubject
Zeitung;9;hasSubject
Selbstbestimmungsrecht;4;hasSubject
Seat;14;hasSubject
Abschrift (lit.);3;hasSubject
R.F.PRI;9;hasSubject
Typoskript mit handschriftlichen Mittelung;9;hasSubject
D.J.VRF;2;hasSubject
Berichtigung (jur.);24;hasSubject
E.F.DAR;1;hasSubject
Fotografie (Mat.);6;hasSubject
small finds;4;hasSubject
D.J.AKS;17;hasSubject
Fortbildung;4;hasSubject
data sharing;2;hasSubject
Benachrichtigung;108;hasSubject
Lohnverhandlung;9;hasSubject
Vernehmung;32;hasSubject
Schloss;1;hasSubject
S.F.PAD;1;hasSubject
Medieval Austria;2;hasSubject
D.J.VOL;12;hasSubject
Typoskript mit sonstigen Schreibspuren;4;hasSubject
BestÃ¤tigung;15;hasSubject
Karten;1;hasSubject
historical travel guides;13;hasSubject
D.J.EXN;2;hasSubject
Luftkrieg;2;hasSubject
D.J.ZUN;10;hasSubject
D.K.NCH;6;hasSubject
Mining Captaincy;4;hasSubject
Leumundsnote;2;hasSubject
T.F.BES;2;hasSubject
Arabic linguistics;1;hasSubject
BÃ¼rgerkrieg;3;hasSubject
BefÃ¶rderungsdienstfrist;1;hasSubject
K.P.SOZ;19;hasSubject
Dossier;5;hasSubject
Surveyartefakte;21;hasSubject
Military Frontier;8;hasSubject
sights;2;hasSubject
K.P.CHR;3;hasSubject
Typoskript mit handschriftlichen Annotationen;184;hasSubject
T.F.UPL;1;hasSubject
Digital Edition;1;hasSubject
interaction;787;hasSubject
mark-up conventions;1;hasSubject
Gemeindewahlrecht;9;hasSubject
Entwurf (jur.);49;hasSubject
D.J.BEL;13;hasSubject
Mandat (politisches);2;hasSubject
Ãœberweisungsbeschluss;2;hasSubject
professional research/science panel;30;hasSubject
Pressrecht;69;hasSubject
D.S.PLK;2;hasSubject
historic administrative units;2650;hasSubject
E.F.BES;1;hasSubject
professional organizational conversation;15;hasSubject
D.J.BAN;18;hasSubject
Autonomie;3;hasSubject
Fotografie;2;hasSubject
shape;4;hasSubject
ZurÃ¼ckziehung der Klage;6;hasSubject
Kongress von Troppau;1;hasSubject
Umschlag;48;hasSubject
Anzeige;4;hasSubject
D.J.STZ ;2;hasSubject
Genfer Protokolle;1;hasSubject
Country;3;hasSubject
Liste (jur.);7;hasSubject
T.F.ERP;3;hasSubject
Austrian newspapers;1;hasSubject
E.F.VGL;14;hasSubject
Durchschlag mit sonstigen Schreibspuren;2;hasSubject
controlled vocabulary;1;hasSubject
S.F.KRA;141;hasSubject
BefÃ¶rderung;16;hasSubject
Versetzung;7;hasSubject
