hasSubject;Häufigkeit;Nichtbeachtung weil;Aufnahme weil;Anmerkung
Ausbildung;11;;;
Bundesländer;11;;;
D.J.ZAS;11;zu speziell/nicht wiederverwendbar;;
Föderalismus;11;;;
Fotografien;11;;;
Intertextualität;11;;;
Kündigung;11;;;
Literaturwissenschaft;11;Disziplin;;
Medienwissenschaft;11;Disziplin;;
Personalkommission;11;;;
Rechtsgeschichte;11;Disziplin;;
Zeugenaussage;11;;;
;11;;;
Abhandlung;10;;;
Bericht;10;;;
Betriebsrat;10;;;
Burgfrieden;10;;;
D.J.ABH;10;zu speziell/nicht wiederverwendbar;;
D.J.BER;10;zu speziell/nicht wiederverwendbar;;
D.J.KON;10;zu speziell/nicht wiederverwendbar;;
D.J.KSB;10;zu speziell/nicht wiederverwendbar;;
D.J.ZAT;10;zu speziell/nicht wiederverwendbar;;
D.J.ZUN;10;zu speziell/nicht wiederverwendbar;;
E.F.NIC;10;zu speziell/nicht wiederverwendbar;;
Friedensverhandlungen;10;;;
K.K.LIT;10;zu speziell/nicht wiederverwendbar;;
K.K.SCH;10;zu speziell/nicht wiederverwendbar;;
Kassabestätigung;10;;;
Konzept (jur.);10;;;
Literarische Berichtigung;10;;;
Nicht verfolgt;10;;;
Schober, 15. Juli 1927;10;;;
Staatsangestelltenkammer;10;;;
Ungleichbehandlung;10;;;
Zahlungsauftrag;10;;;
Zurücknahme;10;;;
Berliner Tageblatt, Kerr, Wolff;9;;;
D.J.LIS;9;zu speziell/nicht wiederverwendbar;;
D.J.VER;9;zu speziell/nicht wiederverwendbar;;
D.J.ZEB;9;zu speziell/nicht wiederverwendbar;;
D.K.RAD;9;zu speziell/nicht wiederverwendbar;;
Gemeindewahlrecht;9;;;
K.K.BER;9;zu speziell/nicht wiederverwendbar;;
Lohnverhandlung;9;;;
Militarismus;9;Disziplin;;
Privatrecht;9;Disziplin;;
R.F.PRI;9;zu speziell/nicht wiederverwendbar;;
Radiogramm;9;;;
