"id","value","property","lang","notes_lang","remove trailing space","correct to","variants"
468,Disziplinarrecht,hasSubject,de,,,,
471,Dossier,hasSubject,de,,,,
473,Druck mit handschriftlichen Überarbeitungen,hasSubject,de,,,,
476,Entente,hasSubject,de,,,,
477,Kassazettel,hasSubject,de,,,,
478,Lebensumstände,hasSubject,de,,,,
479,Memorandum,hasSubject,de,,,,
481,Nachkriegskrise,hasSubject,de,,,,
482,Nationalität,hasSubject,de,,,,
487,Systemisierung,hasSubject,de,,,,
488,tschechoslowakische Regierung,hasSubject,de,,,,
490,Vergeltung,hasSubject,de,,,,
491,Zensur,hasSubject,de,,,,
492,Ablehnung,hasSubject,de,,,,
493,Anklage-Kundmachung,hasSubject,de,,,,
494,Anzeige,hasSubject,de,,,,
495,Arbeiterrätin,hasSubject,de,,,,
496,Aufgabeschein,hasSubject,de,,,,
497,Bekanntgabe,hasSubject,de,,,,
498,Berichtigung,hasSubject,de,,,,
499,Bundesverfassung,hasSubject,de,,,,
525,Durchschlag mit handschriftlicher Mitteilung,hasSubject,de,,,,
527,Eingabe,hasSubject,de,,,,
528,Exekutionsbewilligung,hasSubject,de,,,,
529,Fortbildung,hasSubject,de,,,,
531,Gedächtnisprotokoll,hasSubject,de,,,,
532,Geldbuße,hasSubject,de,,,,
533,Gutachten,hasSubject,de,,,,
535,Information,hasSubject,de,,,,
537,Manuskript mit handschriftlichen Annotationen,hasSubject,de,,,,
540,Nationalsozialismus,hasSubject,de,,,,
543,Phonogrammarchiv,hasSubject,de,,,,
545,Postanweisung,hasSubject,de,,,,
546,Programmheft,hasSubject,de,,,,
548,Rekurs,hasSubject,de,,,,
549,Selbstbestimmungsrecht,hasSubject,de,,,,
551,Staatsvertrag (St. Germain),hasSubject,de,,,,"Vertrag von Saint-Germain, Staatsvertrag von Saint-Germain-en-Laye"
552,Strafregisterauszug,hasSubject,de,,,,
553,Strafverfahrensakt,hasSubject,de,,,,
556,Typoskript mit handschriftlicher Mitteilung,hasSubject,de,,,,
557,Typoskript mit sonstigen Schreibspuren,hasSubject,de,,,,
558,Verfügungsbogen,hasSubject,de,,,,
559,Vertragsbruch,hasSubject,de,,,,
560,Vertragsverletzung,hasSubject,de,,,,
561,Vikariat,hasSubject,de,,,,
562,Abfertigung,hasSubject,de,,,,
563,Abschrift (lit.),hasSubject,de,,,,
564,Abweisung,hasSubject,de,,,,
565,Autonomie,hasSubject,de,,,,
566,Beamtenrat,hasSubject,de,,,,
567,Beweisabschluss,hasSubject,de,,,,
568,Bürgerkrieg,hasSubject,de,,,,
573,Disziplinarausschuss,hasSubject,de,,,,
581,Erpressung,hasSubject,de,,,,
582,Forderung bezahlt,hasSubject,de,,,,
583,Geist (moderner),hasSubject,de,,,,
584,Jude,hasSubject,de,,,,
590,Pamphlet,hasSubject,de,,,,
592,Personalpolitik,hasSubject,de,,,,
593,Pfleggericht,hasSubject,de,,,,
597,Schuldrecht,hasSubject,de,,,,
599,Stadtgericht,hasSubject,de,,,,
600,Tagebuch,hasSubject,de,,,,
604,Zustellung,hasSubject,de,,,,
605,Akt,hasSubject,de,,,,
606,Aktenübersicht,hasSubject,de,,,,
607,Anklage,hasSubject,de,,,,
610,Aufgabeabschnitt,hasSubject,de,,,,
611,Aufruf,hasSubject,de,,,,
612,Auszug,hasSubject,de,,,,
613,Berufungsbescheid,hasSubject,de,,,,
614,Bestechung,hasSubject,de,,,,
617,Briefausgabe,hasSubject,de,,,,
618,Briefumschlag,hasSubject,de,,,,
625,Disziplinaranzeige,hasSubject,de,,,,
660,Durchschlag mit sonstigen Schreibspuren,hasSubject,de,,,,
661,Edition,hasSubject,de,,,,
664,Ehrenerklärung,hasSubject,de,,,,
665,Entschuldigung,hasSubject,de,,,,
666,Entwurf,hasSubject,de,,,,
668,Ersatzanspruch,hasSubject,de,,,,
669,Exekutionsausweis,hasSubject,de,,,,
670,Expensen-Note,hasSubject,de,,,,
673,Fotografie,hasSubject,de,,,,Photographie
676,Fundbearbeitung,hasSubject,de,,,,
677,Gedicht,hasSubject,de,,,,
678,Geldstrafe,hasSubject,de,,,,
685,Kostennote,hasSubject,de,,,,
686,Lesezeichen,hasSubject,de,,,,
687,Leumundsnote,hasSubject,de,,,,
689,Liste,hasSubject,de,,,,
690,Liste (korr.),hasSubject,de,,,,
693,Lokalpolitik,hasSubject,de,,,,
694,Luftkrieg,hasSubject,de,,,,
695,Mandat (politisches),hasSubject,de,,,,
696,Manuskript mit handschriftlicher Mitteilung,hasSubject,de,,,,
699,Marktgericht,hasSubject,de,,,,
705,Mitschrift,hasSubject,de,,,,
706,Mitschriften,hasSubject,de,,,,
708,Ontologie,hasSubject,de,,,,
711,Personalrat,hasSubject,de,,,,
712,Plakat,hasSubject,de,,,,
716,Protest,hasSubject,de,,,,
718,Rechtsmittelanmeldung,hasSubject,de,,,,
719,Revisionsbeantwortung,hasSubject,de,,,,
720,Revisionsschrift,hasSubject,de,,,,
730,Tagebücher,hasSubject,de,,,,
731,Testament,hasSubject,de,,,,
735,Tonaufnahmen,hasSubject,de,,,,
737,Typoskript mit handschriftlichen Änderungen,hasSubject,de,,,,
738,Überweisung,hasSubject,de,,,,
739,Überweisungsbeschluss,hasSubject,de,,,,
741,Verfügung,hasSubject,de,,,,
742,Verlassenschaftsabhandlung,hasSubject,de,,,,
743,Verlautbarung,hasSubject,de,,,,
744,Verrechnung,hasSubject,de,,,,
745,Versammlung,hasSubject,de,,,,
747,Zahlungsverpflichtung,hasSubject,de,,,,
749,Zurückweisung (jur.),hasSubject,de,,,,
750,Zweiter Weltkrieg,hasSubject,de,,,,
754,Änderung,hasSubject,de,,,,
758,Auflösung des Vertrags,hasSubject,de,,,,
759,Ausbleiben der Rückzahlung,hasSubject,de,,,,
760,Ausschuss,hasSubject,de,,,,
766,Bauaufnahme,hasSubject,de,,,,
767,Beförderungsdienstfrist,hasSubject,de,,,,
768,Beleidigung,hasSubject,de,,,,
769,Beschlagnahme aufgehoben,hasSubject,de,,,,
770,Bildungsreform,hasSubject,de,,,,
772,Bundespolizeidirektion,hasSubject,de,,,,
786,Darlehen zurückbezahlt,hasSubject,de,,,,
792,Diplomatiegeschichte,hasSubject,de,,,,
793,Drohung,hasSubject,de,,,,
806,Ehrenkränkung,hasSubject,de,,,,
807,Einigung,hasSubject,de,,,,
809,Erklärung (Ausgang),hasSubject,de,,,,
811,Fachprüfung,hasSubject,de,,,,
812,französische Regierung,hasSubject,de,,,,
813,Fundfotos,hasSubject,de,,,,
814,Fundzeichnungen,hasSubject,de,,,,
816,Genfer Protokolle,hasSubject,de,,,,
817,Gesteinsproben,hasSubject,de,,,,
818,Glacis,hasSubject,de,,,,
820,Grabungstagebuch,hasSubject,de,,,,
