"id","value","property","lang","correct_lang"
225,Gericht,hasSubject,en,de
226,Übersetzung,hasSubject,de,
227,D.J.BRG,hasSubject,de,
228,D.J.KLG,hasSubject,de,
229,E.F.VER,hasSubject,de,
230,Klage,hasSubject,de,
231,Verurteilung,hasSubject,de,
232,Auftrag,hasSubject,de,
233,D.J.AUF,hasSubject,de,
234,D.J.ERK,hasSubject,de,
235,D.J.NOT,hasSubject,de,
236,D.J.SFE,hasSubject,de,
237,Erklärung (jur.),hasSubject,de,
238,Lohnforderung,hasSubject,de,
239,Notiz,hasSubject,de,
240,Personalvertretung,hasSubject,de,
241,Ruhestand,hasSubject,de,
242,Vorrückung,hasSubject,de,
243,educational interview,hasSubject,en,
244,educational service encounter,hasSubject,en,
245,educational working group discussion,hasSubject,en,
246,leisure interview,hasSubject,en,
247,professional organizational press conference,hasSubject,en,
248,Staatsbedienstetenorganisationen,hasSubject,de,
249,Berichtigung (jur.),hasSubject,de,
250,Empire,hasSubject,en,
251,zwischenstaatliche Vereinbarung,hasSubject,de,
252,Landeskommissariat,hasSubject,en,de
253,Bitte,hasSubject,de,
254,D.J.BIT,hasSubject,de,
255,Strafanzeige,hasSubject,de,
256,Archivrecherchen,hasSubject,,de
257,Beweisantrag,hasSubject,de,
258,Byzantinische Burg,hasSubject,,de
259,Canabae,hasSubject,,la
260,"Die Stunde, Békessy",hasSubject,de,
261,D.J.BWN,hasSubject,de,
262,Forschungsgeschichte,hasSubject,,de
263,Hügelgräber,hasSubject,,de
264,Keramik,hasSubject,,de
265,K.K.STU,hasSubject,de,
266,Lagervorstadt,hasSubject,,de
267,Legionslager,hasSubject,,de
268,Munizipium,hasSubject,,de
269,Nekropole,hasSubject,,de
270,Siedlungstopographie,hasSubject,,de
271,Streik,hasSubject,de,
272,Surveyartefakte,hasSubject,,de
273,Wasserversorgung,hasSubject,,de
274,Beamtenorganisation,hasSubject,de,
275,Druck mit handschriftlichen Annotationen,hasSubject,de,
276,educational conversation,hasSubject,en,
277,professional business panel,hasSubject,en,
278,professional business question-answer session,hasSubject,en,
279,deutschösterr. Regierung,hasSubject,de,
280,K.P.SOZ,hasSubject,de,
281,Sozialdemokratie,hasSubject,de,
282,Berufungsanmeldung,hasSubject,de,
283,Die Fackel,hasSubject,de,
284,D.J.BAN,hasSubject,de,
285,K.K.FAC,hasSubject,de,
286,R.F.ZIV,hasSubject,de,
287,T.F.URV,hasSubject,de,
288,Urheberrechtsverletzung,hasSubject,de,
289,Zivilrecht,hasSubject,de,
290,Anklageschrift,hasSubject,de,
291,D.J.AKS,hasSubject,de,
292,Gewerkschaft,hasSubject,de,
293,Beförderung,hasSubject,de,
294,D.J.ERG,hasSubject,de,
295,Ergänzung,hasSubject,de,
296,Koalitionsfreiheit,hasSubject,de,
297,Bescheid,hasSubject,de,
298,Bestätigung,hasSubject,de,
299,Bevollmächtiger,hasSubject,de,
300,D.J.BSD,hasSubject,de,
301,D.J.BST,hasSubject,de,
302,professional organizational conversation,hasSubject,en,
303,Äußerung,hasSubject,de,
304,D.J.AUG,hasSubject,de,
305,D.J.ERL,hasSubject,de,
306,D.J.KOB,hasSubject,de,
307,D.P.ZTG,hasSubject,de,
308,E.F.FRE,hasSubject,de,
309,E.F.VGL,hasSubject,de,
310,Erlagschein,hasSubject,de,
311,Freispruch,hasSubject,de,
312,High-Bailiwick,hasSubject,en,delete
313,Kostenaufstellung,hasSubject,de,
314,Principality,hasSubject,en,
315,Seat,hasSubject,en,
316,Vergleich (Ausgang),hasSubject,de,
317,Beleg (jur.),hasSubject,de,
318,D.J.BEL,hasSubject,de,
319,D.J.RNG,hasSubject,de,
320,Ernennung,hasSubject,de,
321,Griechenland,hasSubject,de,
322,historical travel guides,hasSubject,en,
323,Karl Baedeker,hasSubject,en,delete
324,K.K.MED,hasSubject,de,
325,Lesbos,hasSubject,de,
326,Medienhistorisches,hasSubject,de,
327,Rechnung,hasSubject,de,
328,Berufung,hasSubject,de,
329,C.Z.STR,hasSubject,de,
330,Deckblatt,hasSubject,de,
331,D.J.BRF,hasSubject,de,
332,D.J.DKB,hasSubject,de,
333,D.J.VOL,hasSubject,de,
334,D.J.VRZ,hasSubject,de,
335,educational,hasSubject,en,
336,Grand Duchy,hasSubject,en,
337,K.K.THE,hasSubject,de,
338,leisure,hasSubject,en,
339,professional business,hasSubject,en,
340,professional organizational,hasSubject,en,
341,professional research and science,hasSubject,en,
342,Sonstiger Materialitätstyp,hasSubject,de,
343,Streitige Zivilrechtssache,hasSubject,de,
344,Theater,hasSubject,de,
345,Verzeichnis,hasSubject,de,
346,Vollmacht,hasSubject,de,
347,Ausbildung,hasSubject,de,
348,Bundesländer,hasSubject,de,
349,D.J.ZAS,hasSubject,de,
350,Föderalismus,hasSubject,de,
351,Fotografien,hasSubject,de,
352,Intertextualität,hasSubject,de,
353,Kündigung,hasSubject,de,
354,Literaturwissenschaft,hasSubject,de,
355,Medienwissenschaft,hasSubject,de,
356,Personalkommission,hasSubject,de,
357,Rechtsgeschichte,hasSubject,de,
358,Zeugenaussage,hasSubject,de,
359,Abhandlung,hasSubject,de,
360,Bericht,hasSubject,de,
361,Betriebsrat,hasSubject,de,
362,Burgfrieden,hasSubject,en,de
363,D.J.ABH,hasSubject,de,
364,D.J.BER,hasSubject,de,
365,D.J.KON,hasSubject,de,
366,D.J.KSB,hasSubject,de,
367,D.J.ZAT,hasSubject,de,
368,D.J.ZUN,hasSubject,de,
369,E.F.NIC,hasSubject,de,
370,Friedensverhandlungen,hasSubject,de,
371,Kassabestätigung,hasSubject,de,
372,K.K.LIT,hasSubject,de,
373,K.K.SCH,hasSubject,de,
374,Konzept (jur.),hasSubject,de,
375,Literarische Berichtigung,hasSubject,de,
376,Nicht verfolgt,hasSubject,de,
377,"Schober, 15. Juli 1927",hasSubject,de,
378,Staatsangestelltenkammer,hasSubject,de,
379,Ungleichbehandlung,hasSubject,de,
380,Zahlungsauftrag,hasSubject,de,
381,Zurücknahme,hasSubject,de,
382,"Berliner Tageblatt, Kerr, Wolff",hasSubject,de,
383,D.J.LIS,hasSubject,de,
384,D.J.VER,hasSubject,de,
385,D.J.ZEB,hasSubject,de,
386,D.K.RAD,hasSubject,de,
387,Gemeindewahlrecht,hasSubject,de,
388,K.K.BER,hasSubject,de,
389,Lohnverhandlung,hasSubject,de,
390,Militarismus,hasSubject,de,
391,Privatrecht,hasSubject,de,
392,Radiogramm,hasSubject,de,
393,R.F.PRI,hasSubject,de,
394,Typoskript mit handschriftlichen Mittelung,hasSubject,de,
395,Vertrag,hasSubject,de,
396,Zahlungseingangsbestätigung,hasSubject,de,
397,Zeitung,hasSubject,de,
398,Aktennotiz,hasSubject,de,
399,Ansuchen,hasSubject,de,
400,Aufstellung,hasSubject,de,
401,D.J.AFS,hasSubject,de,
402,D.J.AKN,hasSubject,de,
403,D.J.ANS,hasSubject,de,
404,Hofgericht,hasSubject,en,de
405,Kommissionsbezirk der Provinzstadt,hasSubject,en,de
406,Military Frontier,hasSubject,en,
407,polyglot dictionary,hasSubject,,en
408,18. Jahrhundert,hasSubject,de,
409,Abrechnung,hasSubject,de,
410,Bibliographie,hasSubject,de,
411,bibliography,hasSubject,en,
412,Crownland,hasSubject,en,
413,D.J.ABR,hasSubject,de,
414,D.J.ANW,hasSubject,de,
415,D.J.VSR,hasSubject,de,
416,D.L,hasSubject,de,
417,Korrespondenz,hasSubject,de,
418,Liste (jur.),hasSubject,de,
419,Literarischer Text,hasSubject,de,
420,Publizistisches Dokument,hasSubject,de,
421,Rechtsnachfolge,hasSubject,de,
422,Sozialgeschichte,hasSubject,de,
423,Tirol,hasSubject,de,
424,Versetzung,hasSubject,de,
425,Versicherung,hasSubject,de,
426,Vertrauensmänner,hasSubject,de,
427,Anfrage,hasSubject,de,
428,Anweisung,hasSubject,de,
429,Aufforderung,hasSubject,de,
430,Berufungsschrift,hasSubject,de,
431,D.J.AFD,hasSubject,de,
432,D.J.ANF,hasSubject,de,
433,D.J.BRS,hasSubject,de,
434,D.J.EIN,hasSubject,de,
435,D.J.GTS,hasSubject,de,
436,D.J.KBS,hasSubject,de,
437,D.J.KLB,hasSubject,de,
438,D.J.RUK,hasSubject,de,
439,D.J.SAT,hasSubject,de,
440,D.K.NCH,hasSubject,de,
441,D.K.UMS,hasSubject,de,
442,E.F.ZUR,hasSubject,de,
443,Einspruch,hasSubject,de,
444,Fotografie (Mat.),hasSubject,de,
445,Free City,hasSubject,en,
446,Gesandtenkonferenz,hasSubject,de,
447,Gutschrift,hasSubject,de,
448,Hofmark,hasSubject,en,de
449,K.K.VER,hasSubject,de,
450,Klagebeantwortung,hasSubject,de,
451,Klagrückziehung,hasSubject,de,
452,Kostenbestimmungsbeschluss,hasSubject,de,
453,Nachricht,hasSubject,de,
454,online site database,hasSubject,en,
455,Politische Parteien,hasSubject,de,
456,Republic,hasSubject,en,
457,R.F.VER,hasSubject,de,
458,Staatsangestelltenrat,hasSubject,de,
459,Strafantrag,hasSubject,de,
460,Straferkenntnis,hasSubject,de,
461,Verlagswesen,hasSubject,de,
462,Verwaltungsrecht,hasSubject,de,
463,Zurückziehung der Klage,hasSubject,de,
464,Archduchy,hasSubject,en,
465,C.K.KOR,hasSubject,de,
466,Crown Colony,hasSubject,en,
467,C.Z.UNS,hasSubject,de,
468,Disziplinarrecht,hasSubject,de,
469,D.J.DOS,hasSubject,de,
470,D.J.KSZ,hasSubject,de,
471,Dossier,hasSubject,de,
472,D.P,hasSubject,de,
473,Druck mit handschriftlichen Überarbeitungen,hasSubject,de,
474,E.F.EIN,hasSubject,de,
475,Eingestellt,hasSubject,de,
476,Entente,hasSubject,de,
477,Kassazettel,hasSubject,de,
478,Lebensumstände,hasSubject,de,
479,Memorandum,hasSubject,de,
480,Military District,hasSubject,en,
481,Nachkriegskrise,hasSubject,de,
482,Nationalität,hasSubject,de,
483,Princely County,hasSubject,en,
484,professional business conversation,hasSubject,en,
485,professional research/science working group discussion,hasSubject,en,
486,Provincial Government,hasSubject,en,
487,Systemisierung,hasSubject,de,
488,tschechoslowakische Regierung,hasSubject,de,
489,Unstreitige Zivilrechtssache,hasSubject,de,
490,Vergeltung,hasSubject,de,
491,Zensur,hasSubject,de,
492,Ablehnung,hasSubject,de,
493,Anklage-Kundmachung,hasSubject,de,
494,Anzeige,hasSubject,de,
495,Arbeiterrätin,hasSubject,de,
496,Aufgabeschein,hasSubject,de,
497,Bekanntgabe,hasSubject,de,
498,Berichtigung,hasSubject,de,
499,Bundesverfassung,hasSubject,de,
500,capacity,hasSubject,,en
501,CIDOC CRM,hasSubject,,
502,Commissary District,hasSubject,en,
503,Condominium,hasSubject,en,
504,data integration,hasSubject,,en
505,District,hasSubject,en,
506,D.J.ABL,hasSubject,de,
507,D.J.AKU,hasSubject,de,
508,D.J.ANZ,hasSubject,de,
509,D.J.BEK,hasSubject,de,
510,D.J.EGE,hasSubject,de,
511,D.J.EXB,hasSubject,de,
512,D.J.GPK,hasSubject,de,
513,D.J.GUT,hasSubject,de,
514,D.J.INF,hasSubject,de,
515,D.J.MEM,hasSubject,de,
516,D.J.MST,hasSubject,de,
517,D.J.REK,hasSubject,de,
518,D.J.SRA,hasSubject,de,
519,D.J.SVA,hasSubject,de,
520,D.J.VFB,hasSubject,de,
521,D.K.AGS,hasSubject,de,
522,D.K.PAW,hasSubject,de,
523,D.S.FOT,hasSubject,de,
524,D.S.PGH,hasSubject,de,
525,Durchschlag mit handschriftlicher Mitteilung,hasSubject,de,
526,E.F.GBU,hasSubject,de,
527,Eingabe,hasSubject,de,
528,Exekutionsbewilligung,hasSubject,de,
529,Fortbildung,hasSubject,de,
530,function,hasSubject,,en
531,Gedächtnisprotokoll,hasSubject,de,
532,Geldbuße,hasSubject,de,
533,Gutachten,hasSubject,de,
534,Imperial Free City,hasSubject,en,
535,Information,hasSubject,de,
536,K.P.NAT,hasSubject,de,
537,Manuskript mit handschriftlichen Annotationen,hasSubject,de,
538,Margraviate,hasSubject,en,
539,Mining Captaincy,hasSubject,en,
540,Nationalsozialismus,hasSubject,de,
541,Neolithic Greece and Anatolia,hasSubject,en,
542,None,hasSubject,en,
543,Phonogrammarchiv,hasSubject,de,
544,Politische Verhältnisse,hasSubject,de,
545,Postanweisung,hasSubject,de,
546,Programmheft,hasSubject,de,
547,Quarter,hasSubject,en,
548,Rekurs,hasSubject,de,
549,Selbstbestimmungsrecht,hasSubject,de,
550,shape,hasSubject,,en
551,Staatsvertrag (St. Germain),hasSubject,de,
552,Strafregisterauszug,hasSubject,de,
553,Strafverfahrensakt,hasSubject,de,
554,T.F.VBR,hasSubject,de,
555,T.F.VVL,hasSubject,de,
556,Typoskript mit handschriftlicher Mitteilung,hasSubject,de,
557,Typoskript mit sonstigen Schreibspuren,hasSubject,de,
558,Verfügungsbogen,hasSubject,de,
559,Vertragsbruch,hasSubject,de,
560,Vertragsverletzung,hasSubject,de,
561,Vikariat,hasSubject,en,de
562,Abfertigung,hasSubject,de,
563,Abschrift (lit.),hasSubject,de,
564,Abweisung,hasSubject,de,
565,Autonomie,hasSubject,de,
566,Beamtenrat,hasSubject,de,
567,Beweisabschluss,hasSubject,de,
568,Bürgerkrieg,hasSubject,de,
569,Christlich-sozial,hasSubject,de,
570,Constituent Entity,hasSubject,en,
571,Country,hasSubject,en,
572,C.P.VER,hasSubject,de,
573,Disziplinarausschuss,hasSubject,de,
574,D.J,hasSubject,de,
575,D.J.BWA,hasSubject,de,
576,D.J.ZST,hasSubject,de,
577,D.L.ABS,hasSubject,de,
578,D.L.PMP,hasSubject,de,
579,E.F.ABW,hasSubject,de,
580,E.F.FOR,hasSubject,de,
581,Erpressung,hasSubject,de,
582,Forderung bezahlt,hasSubject,de,
583,Geist (moderner),hasSubject,de,
584,Jude,hasSubject,de,
585,Juristisches Dokument,hasSubject,de,
586,K.P.CHR,hasSubject,de,
587,linked open data,hasSubject,en,
588,Neolithic Greece and Anatolia,hasSubject,,en
589,online site database,hasSubject,,en
590,Pamphlet,hasSubject,de,
591,Papal State,hasSubject,en,
592,Personalpolitik,hasSubject,de,
593,Pfleggericht,hasSubject,en,de
594,Politische Organisierung,hasSubject,de,
595,Privatrechtliche Vereinbarung,hasSubject,de,
596,research event,hasSubject,en,
597,Schuldrecht,hasSubject,de,
598,semantic technologies,hasSubject,,en
599,Stadtgericht,hasSubject,en,de
600,Tagebuch,hasSubject,de,
601,TEI schema,hasSubject,en,
602,T.F.ERP,hasSubject,de,
603,T.F.SCH,hasSubject,de,
604,Zustellung,hasSubject,de,
605,Akt,hasSubject,de,
606,Aktenübersicht,hasSubject,de,
607,Anklage,hasSubject,de,
608,Anweisun,hasSubject,de,
609,artefact,hasSubject,en,
610,Aufgabeabschnitt,hasSubject,de,
611,Aufruf,hasSubject,de,
612,Auszug,hasSubject,de,
613,Berufungsbescheid,hasSubject,de,
614,Bestechung,hasSubject,de,
615,Bibliography,hasSubject,,en
616,botany,hasSubject,en,
617,Briefausgabe,hasSubject,de,
618,Briefumschlag,hasSubject,de,
619,cave,hasSubject,en,
620,cemetery,hasSubject,en,
621,Commissariat,hasSubject,en,
622,Confederation,hasSubject,en,
623,data integration,hasSubject,en,
624,data sharing,hasSubject,en,
625,Disziplinaranzeige,hasSubject,de,
626,D.J.AKT,hasSubject,de,
627,D.J.ANK,hasSubject,de,
628,D.J.ARF,hasSubject,de,
629,D.J.AUB,hasSubject,de,
630,D.J.AZG,hasSubject,de,
631,D.J.BEB,hasSubject,de,
632,D.J.DAN,hasSubject,de,
633,D.J.EEK,hasSubject,de,
634,D.J.ENT,hasSubject,de,
635,D.J.ERA,hasSubject,de,
636,D.J.ERO,hasSubject,de,
637,D.J.EXA,hasSubject,de,
638,D.J.EXN,hasSubject,de,
639,D.J.KSN,hasSubject,de,
640,D.J.LEU,hasSubject,de,
641,D.J.RMA,hasSubject,de,
