id;value;qualification;property;lang;notes_lang;variants;singular form
646;Plagiat;;hasSubject;de;;;
647;Plakat;;hasSubject;de;;;
648;politische Maßregelung;;hasSubject;de;;;
649;politische Organisierung;;hasSubject;de;;;
650;politische Parteien;;hasSubject;de;;;politische Partei
651;politische Verhältnisse;;hasSubject;de;;;
652;politisches Mandat;;hasSubject;de;;;
654;Postanweisung;;hasSubject;de;;;
656;Postkarte;;hasSubject;de;;;
663;Pressedelikt;;hasSubject;de;;;
664;Presserecht;;hasSubject;de;;;
665;Presserechtsverstoß;;hasSubject;de;;;
668;Privatanklage;;hasSubject;de;;;
669;Privatanklagedelikt;;hasSubject;de;;;
670;privater Buchbesitz;;hasSubject;de;;;
671;Privatrecht;;hasSubject;de;;;
672;privatrechtliche Vereinbarung;;hasSubject;de;;;
691;Profilzeichnungen;;hasSubject;de;;;Profilzeichnung
692;Programmheft;;hasSubject;de;;;
694;Protest;;hasSubject;de;;;
695;Protokoll;;hasSubject;de;;;
698;publizistisches Dokument;;hasSubject;de;;;
699;Qualifikationsbeschwerde;;hasSubject;de;;;
709;Radiogramm;;hasSubject;de;;;
710;Rechnung;;hasSubject;de;;;
711;Rechtsgeschichte;;hasSubject;de;;;
712;Rechtsmittelanmeldung;;hasSubject;de;;;
713;Rechtsnachfolge;;hasSubject;de;;;
714;Rede;;hasCategory;de;;;
715;Rekurs;;hasSubject;de;;;
717;Repression;;hasSubject;de;;;
720;Revisionsbeantwortung;;hasSubject;de;;;
721;Revisionsschrift;;hasSubject;de;;;
725;Rückschein;;hasSubject;de;;;
726;Rückzahlung;;hasSubject;de;;;
727;Rufschädigung;;hasSubject;de;;;
728;Ruhestand;;hasSubject;de;;;
743;Satellitenbild;;hasAppliedMethod;de;;;
745;Schadensersatz;;hasSubject;de;;;
746;Scheitern der Exekution;;hasSubject;de;;;
748;Schloss;;hasSubject;de;;;
749;Schriftsatz;;hasSubject;de;;;
750;Schuldrecht;;hasSubject;de;;;
751;Schweiz;;hasSubject;de;;;
756;Selbstbestimmungsrecht;;hasSubject;de;;;
757;Selbstverwaltung;;hasSubject;de;;;
764;Siedlungstopographie;;hasSubject;de;;Siedlungstopografie;
770;sonstiger Materialitätstyp;;hasSubject;de;;;
771;sonstiger Rechtsbereich;;hasSubject;de;;;
772;Sozialdemokratie;;hasSubject;de;;;
773;soziale Fürsorge;;hasSubject;de;;;
774;Sozialgeschichte;;hasSubject;de;;;
779;Staatsangestelltenkammer;;hasSubject;de;;;
780;Staatsangestelltenrat;;hasSubject;de;;;
781;Staatsbediensteten-Kommission;;hasSubject;de;;;
782;Staatsbedienstetenorganisationen;;hasSubject;de;;;Staatsbedienstetenorganisation
783;Staatsvertrag (St. Germain);;hasSubject;de;;Vertrag von Saint-Germain, Staatsvertrag von Saint-Germain-en-Laye;
784;Stadtgericht;;hasSubject;de;;;
787;Strafantrag;;hasSubject;de;;;
788;Strafanzeige;;hasSubject;de;;;
